Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success
1,38,208.64067420993453,38,0.990595,0.0,1
2,69,207.59928267180396,31,0.9829225,0.0,1
3,135,214.99908883027643,66,0.9665875,0.0,1
4,195,210.7177383922965,60,0.9517375,0.0,1
5,210,202.39735008444265,15,0.948025,0.0,1
6,230,206.0835957871125,20,0.943075,0.0,1
7,279,208.3220319901145,49,0.9309475,0.0,1
8,292,202.73097968304023,13,0.9277299999999999,0.0,1
9,334,210.6074297225291,42,0.917335,0.0,1
10,392,208.90055752304272,58,0.90298,0.0,1
11,446,209.47746430308,54,0.889615,0.0,1
12,475,202.88610187200788,29,0.8824375,0.0,1
13,533,212.47795846231895,58,0.8680825,0.0,1
14,589,207.14541208713717,56,0.8542225,0.0,1
15,622,204.92395801538012,33,0.846055,0.0,1
16,672,212.875536356146,50,0.83368,0.0,1
17,692,203.03994411198488,20,0.82873,0.0,1
18,741,212.42434321026693,49,0.8166025,0.0,1
19,800,213.9701962698026,59,0.802,0.0,1
20,846,210.89688613142863,46,0.7906150000000001,0.0,1
21,899,211.69109415720365,53,0.7774975,0.0,1
22,942,202.4065582586496,43,0.7668550000000001,0.0,1
23,976,206.2218473058259,34,0.75844,0.0,1
24,1033,212.36133905106357,57,0.7443325000000001,0.0,1
25,1048,201.84086380261303,15,0.7406200000000001,0.0,1
26,1088,211.05917427408207,40,0.73072,0.0,1
27,1152,215.1943528890609,64,0.71488,0.0,1
28,1161,201.8408263227377,9,0.7126525,0.0,1
29,1198,207.5973524543835,37,0.703495,0.0,1
30,1241,209.33342277892373,43,0.6928525,0.0,1
31,1254,203.2646380692365,13,0.689635,0.0,1
32,1284,208.65295072124397,30,0.68221,0.0,1
33,1343,214.03764134772354,59,0.6676075,0.0,1
34,1387,209.24704113640132,44,0.6567175000000001,0.0,1
35,1450,210.91031522266596,63,0.641125,0.0,1
36,1477,206.57860680143662,27,0.6344425,0.0,1
37,1502,202.60612526189774,25,0.628255,625.7180900871754,1
38,1517,204.508735092095,15,0.6245425,927.1083921233813,1
39,1554,212.38522829250002,37,0.6153850000000001,909.7224156349092,1
40,1588,214.91725025911876,34,0.60697,931.993683152339,1
41,1617,210.82130532219864,29,0.5997925,922.505170528231,1
42,1649,213.4517718498466,32,0.5918725,894.9014016184956,1
43,1672,209.49362188146097,23,0.58618,774.7379939465419,1
44,1701,209.7711859609058,29,0.5790025,774.5202338489993,1
45,1731,213.30362554666246,30,0.5715775,688.6587902148565,1
46,1748,205.8762631873527,17,0.5673699999999999,517.7518176366301,1
47,1785,213.87839523689777,37,0.5582125,609.6026114704641,1
48,1812,211.88668725894098,27,0.55153,558.7833217007143,1
49,1850,213.21055165793462,38,0.542125,461.194158842297,1
50,1881,210.5114303075179,31,0.5344525,498.7498307324225,1
51,1912,214.1671467237754,31,0.52678,464.13167870429254,1
52,1947,216.79267544870802,35,0.5181175,420.7382399605853,1
53,1985,213.35118867872615,38,0.5087124999999999,322.69218038100945,1
54,1995,203.73243842392506,10,0.5062374999999999,348.9694879248738,1
55,2023,213.84077810334253,28,0.4993075,328.77638423655713,1
56,2062,215.76943355001774,39,0.48965500000000006,327.7469251579963,1
57,2074,203.32436858435236,12,0.48668500000000003,236.88357400149107,1
58,2090,206.94643832757964,16,0.48272500000000007,296.90438093524426,1
59,2112,209.56756513468932,22,0.4772799999999999,281.3208703270013,1
60,2159,215.1569892090717,47,0.4656475000000001,235.40517489643807,1
61,2190,212.16757660031246,31,0.457975,200.78694520313894,1
62,2207,205.89832777478674,17,0.4537675,217.16424533111208,1
63,2218,201.84616209171764,11,0.45104500000000003,181.39524155177853,1
64,2238,206.00343803908356,20,0.446095,177.0051170028746,1
65,2262,212.05067910656334,24,0.44015499999999996,164.65540516314408,1
66,2283,208.88869177550356,21,0.4349575,159.7198641853673,1
67,2311,210.29130766680433,28,0.4280275,142.05785854959063,1
68,2347,214.0767323213899,36,0.41911750000000003,136.3798611201346,1
69,2357,203.64149212109828,10,0.4166424999999999,129.94160445928574,1
70,2372,205.057175584107,15,0.41293,117.22794348994891,1
71,2408,212.91708926915425,36,0.40402000000000005,112.48205164364643,1
72,2444,216.66207185381685,36,0.3951100000000001,117.29033732083109,1
73,2469,209.58137853401274,25,0.38892250000000006,94.73842565476895,1
74,2498,213.2958368091621,29,0.381745,88.24052678613828,1
75,2531,210.10866474796453,33,0.3735775,82.7830580874826,1
76,2542,203.7282101878364,11,0.37085500000000005,73.25196140056306,1
77,2554,204.43393559389207,12,0.367885,76.02192687988281,1
78,2584,212.2639558049411,30,0.36046,75.30317147225142,1
79,2593,202.72471631926865,9,0.35823250000000006,80.76630095640819,1
80,2610,207.49840239718725,17,0.35402500000000003,73.71535560488701,1
81,2630,207.09391465077815,20,0.349075,62.72446018233895,1
82,2676,210.89981007986677,46,0.33768999999999993,61.35694498342016,1
83,2697,209.49995845123382,21,0.33249249999999997,53.98314045085793,1
84,2717,203.7024207935484,20,0.32754249999999996,57.291300545632836,1
85,2755,211.8271499018287,38,0.3181375000000001,47.694274189440826,1
86,2770,204.75840504269385,15,0.31442499999999995,46.17174894809723,1
87,2789,206.52016298585755,19,0.3097225,57.14509805880095,1
88,2807,207.6405068876469,18,0.3052675,49.03146692365408,1
89,2824,203.53026029490462,17,0.30106,51.42465951688149,1
90,2837,205.49628009232734,13,0.2978425,45.508569027368836,1
91,2863,209.89713872513244,26,0.29140750000000004,42.490996172221806,1
92,2903,215.94774779191303,40,0.2815075,46.91456741541624,1
93,2933,212.29667795798218,30,0.2740825,39.88885239760081,1
94,2962,210.19594008641582,29,0.26690499999999995,38.82473666143829,1
95,2992,212.30177338095035,30,0.25948000000000004,39.86912222057581,1
96,3010,206.01695175317042,18,0.25502500000000006,39.13862991746929,1
97,3039,213.04834260548643,29,0.2478475,38.27655808216539,1
98,3053,205.20218808796633,14,0.24438250000000006,36.50469771666186,1
99,3069,205.02431103518677,16,0.24042249999999998,37.074378432706,1
100,3094,209.76115718807563,25,0.23423500000000008,32.50992272496224,1
101,3110,205.17577074175705,16,0.230275,35.45654138177633,1
102,3146,214.71816156364113,36,0.22136500000000003,33.57492285718521,1
103,3161,205.82741800955645,15,0.21765250000000003,32.73369429508845,1
104,3180,208.6601582677555,19,0.21294999999999997,34.47161597405609,1
105,3192,202.4228732361522,12,0.20997999999999994,30.535729637990396,1
106,3226,214.4660364586446,34,0.201565,35.19638393293409,1
107,3254,212.48727209200018,28,0.194635,35.94162203424743,1
108,3277,208.5412410569791,23,0.1889425,37.6512060975251,1
109,3289,203.4725833634797,12,0.18597249999999999,32.05039128909508,1
110,3311,210.28133674297305,22,0.18052750000000006,36.3994823159142,1
111,3329,207.12538104964165,18,0.17607249999999997,35.50016042341789,1
112,3353,210.98277632888207,24,0.1701324999999999,35.57378891296685,1
113,3375,209.13804641630315,22,0.1646875,36.6408432464708,1
114,3401,210.18055506830206,26,0.15825250000000002,33.39859202905343,1
115,3423,208.83069980931123,22,0.15280749999999999,36.087300352074884,1
116,3453,214.5883432345772,30,0.14538250000000008,33.99601254016161,1
117,3479,213.3698413605604,26,0.1389475,30.894475486416084,1
118,3502,206.67623176513965,23,0.133255,34.744436426655106,1
119,3535,214.37170549004642,33,0.12508750000000002,30.162704148978897,1
120,3556,209.32905213955232,21,0.11988999999999994,27.158096898169745,1
121,3584,209.98152868921233,28,0.11295999999999995,26.163329306989908,1
122,3619,213.87691896702725,35,0.10429749999999993,26.411258181078093,1
123,3636,207.44542561246539,17,0.10009000000000001,28.101945139905986,1
124,3658,208.05597963259873,22,0.09464499999999998,25.285575505007397,1
125,3676,206.1096609741083,18,0.09018999999999999,29.889511258237892,1
126,3716,217.7330623434838,40,0.08028999999999997,24.791065168753267,1
127,3739,207.7178050364219,23,0.07459749999999998,23.817721228884615,1
128,3763,209.33662751755693,24,0.06865750000000004,22.205374188100297,1
129,3780,207.61449643946975,17,0.06445000000000001,24.723109204102965,1
130,3798,206.231470573962,18,0.05999500000000002,23.28372504727708,1
131,3829,209.54147276192603,31,0.05232249999999994,23.86253443792943,1
132,3846,206.85235803898732,17,0.04811500000000002,23.451662592151585,1
133,3883,213.3406602174641,37,0.03895749999999998,24.564759381316804,1
134,3905,210.79260616452737,22,0.033512500000000056,23.194488546387717,1
135,3931,209.64178508417484,26,0.027077499999999977,24.430060426203106,1
136,3943,204.57622604770654,12,0.02410749999999995,20.080145448446274,1
137,3972,212.17930901766812,29,0.01693,23.799681974382235,1
138,3980,202.9710216091277,8,0.014950000000000019,22.02175873890519,1
139,4003,207.89150286738948,23,0.010000000000000009,24.51097211241722,1
140,4031,210.01956790156046,28,0.010000000000000009,21.51653609478048,1
141,4060,212.68209379176227,29,0.010000000000000009,23.068773054357234,1
142,4085,211.69363034400783,25,0.010000000000000009,19.95043540596962,1
143,4104,206.65498910612484,19,0.010000000000000009,20.01896915624016,1
144,4145,214.42977693998506,41,0.010000000000000009,19.159133943479237,1
145,4170,211.87903512387663,25,0.010000000000000009,20.764351592063903,1
146,4182,203.38150302031644,12,0.010000000000000009,21.325447445114452,1
147,4201,208.6824602257393,19,0.010000000000000009,22.18603648559043,1
148,4228,211.3867290924375,27,0.010000000000000009,19.92394531518221,1
149,4237,202.77970674188956,9,0.010000000000000009,20.334134817123413,1
150,4270,210.36372748301204,33,0.010000000000000009,19.16321052701184,1
151,4306,214.1942566681734,36,0.010000000000000009,19.285432916548515,1
152,4339,213.35166203625977,33,0.010000000000000009,18.809598640736304,1
153,4371,214.24631191585812,32,0.010000000000000009,18.052356718108058,1
154,4387,205.72043175228478,16,0.010000000000000009,15.827313150279224,1
155,4416,210.09342402504987,29,0.010000000000000009,16.069818521881924,1
156,4450,215.06544793295876,34,0.010000000000000009,15.754633703214282,1
157,4480,214.45802756828803,30,0.010000000000000009,17.183870479712883,1
158,4509,209.96337122414698,29,0.010000000000000009,16.60939694170294,1
159,4532,208.02441468674783,23,0.010000000000000009,15.082468412492586,1
160,4548,207.2911129209225,16,0.010000000000000009,15.41805752646178,1
161,4574,213.19928300013063,26,0.010000000000000009,15.890104995324062,1
162,4606,213.65672235102525,32,0.010000000000000009,13.136333228088915,1
163,4625,206.0522345960889,19,0.010000000000000009,16.22893764078617,1
