Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision
56,1071,-69.66832847951751,10,0.89407,0.0,0,1
57,1075,-49.298941792995585,4,0.893674,0.0,0,1
58,1091,-24.241082319180382,16,0.89209,0.0,0,1
59,1111,-82.86715410589402,20,0.89011,0.0,0,1
60,1116,-42.68113859652615,5,0.889615,0.0,0,1
61,1139,-14.513413738301992,23,0.887338,0.0,0,1
62,1147,-61.5039303569628,8,0.8865460000000001,0.0,0,1
63,1152,-50.101816922557575,5,0.886051,0.0,0,1
64,1156,-56.47514571664874,4,0.885655,0.0,0,1
65,1180,-87.65546642717328,24,0.883279,0.0,0,1
66,1199,-28.811224466726625,19,0.881398,0.0,0,1
67,1212,-40.06467947416743,13,0.880111,0.0,0,1
68,1225,-85.11132538614697,13,0.878824,0.0,0,1
69,1233,-49.98843281463443,8,0.878032,0.0,0,1
70,1252,-35.49842980783859,19,0.876151,0.0,0,1
71,1274,-108.03572647235742,22,0.873973,0.0,0,1
72,1279,-45.524332025435875,5,0.873478,0.0,0,1
73,1290,-67.92098169715362,11,0.8723890000000001,0.0,0,1
74,1296,-48.116726928319906,6,0.871795,0.0,0,1
75,1310,-60.65217960363985,14,0.870409,0.0,0,1
76,1326,-21.37607373160318,16,0.868825,0.0,0,1
77,1331,-50.79915919591507,5,0.86833,0.0,0,1
78,1359,-53.8561039646133,28,0.865558,0.0,0,1
79,1383,-61.80471519769357,24,0.863182,0.0,0,1
80,1405,-72.26887330719806,22,0.861004,0.0,0,1
81,1419,-18.673507055438826,14,0.859618,0.0,0,1
82,1441,-69.99298723836806,22,0.85744,0.0,0,1
83,1445,-52.30612816674242,4,0.857044,0.0,0,1
84,1452,-40.18037357305204,7,0.856351,0.0,0,1
85,1463,-43.21283161113267,11,0.855262,0.0,0,1
86,1468,-51.973450094150486,5,0.854767,0.0,0,1
87,1484,-83.4201124310854,16,0.853183,0.0,0,1
88,1511,-20.7881691602648,27,0.85051,164.5230144153942,0,1
89,1540,-72.50220485610822,29,0.847639,172.80382222142714,0,1
90,1545,-57.228927329969494,5,0.847144,168.772314453125,0,1
91,1555,-41.27913323892503,10,0.846154,165.53021392822265,0,1
92,1573,-87.20043057800517,18,0.844372,156.9388253953722,0,1
93,1586,-50.572544463729805,13,0.843085,176.2128689105694,0,1
94,1599,-25.251022632897577,13,0.841798,164.57508321908804,0,1
95,1631,-52.419954695965686,32,0.83863,161.26181936264038,0,1
96,1641,-20.833118837620503,10,0.8376399999999999,144.2083869934082,0,1
97,1649,-48.06216782512327,8,0.836848,136.28468894958496,0,1
98,1653,-43.920232968439606,4,0.836452,203.45328521728516,0,1
99,1671,-31.366470936609904,18,0.83467,140.07319980197482,0,1
100,1715,-35.43154036547794,44,0.830314,137.8885530991988,0,1
101,1726,-87.8294361326108,11,0.829225,140.16183679754084,0,1
102,1729,-47.76658134816528,3,0.828928,129.1249237060547,0,1
103,1767,-78.00698050961985,38,0.825166,139.34427883750513,0,1
104,1795,-26.346616725218603,28,0.822394,133.3782125200544,0,1
105,1816,-52.99952481203858,21,0.820315,128.15950702485583,0,1
106,1835,-9.646324582519235,19,0.818434,132.8935093126799,0,1
107,1844,-27.750026862029074,9,0.817543,132.50807105170355,0,1
108,1850,-41.42462716482043,6,0.8169489999999999,126.47405115763347,0,1
109,1863,-33.40477811937765,13,0.815662,133.27648456280048,0,1
110,1872,-59.48864398346228,9,0.814771,128.34904056125217,0,1
111,1879,-64.23892354276595,7,0.814078,140.8053970336914,0,1
112,1883,-52.44626246515222,4,0.813682,136.85418891906738,0,1
113,1887,-60.45475239970377,4,0.813286,130.74975204467773,0,1
114,1911,-56.79805354161455,24,0.81091,145.99145539601645,0,1
115,1919,-41.60748019222156,8,0.810118,130.1443862915039,0,1
