Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,22,-15.286095088971393,22,0.989605,0.0,0,1,0.0
2,51,-4.385863838651767,29,0.97525,0.0,0,1,0.0
3,74,-8.026717185391645,23,0.963865,0.0,0,1,0.0
4,99,-4.645846581696321,25,0.95149,0.0,0,1,0.0
5,158,-14.859163364595977,59,0.922285,0.0,0,1,0.0
6,197,-19.509207340410978,39,0.90298,0.0,0,1,0.0
7,230,-7.09359805738649,33,0.886645,0.0,0,1,0.0
8,268,-9.690052679406838,38,0.867835,0.0,0,1,0.0
9,296,-6.535488251613075,28,0.853975,0.0,0,1,0.0
10,317,-5.923232290664444,21,0.84358,0.0,0,1,0.0
11,344,-16.051615863023276,27,0.8302149999999999,0.0,0,1,0.0
12,365,-10.574573948160943,21,0.81982,0.0,0,1,0.0
13,433,-28.880844780017927,68,0.78616,0.0,0,1,0.0
14,509,-16.707842236658617,76,0.74854,0.0,0,1,0.0
15,577,-26.761685533032512,68,0.71488,0.0,0,1,0.0
16,601,-5.329700705916968,24,0.7030000000000001,0.0,0,1,0.0
17,626,-6.671713374042112,25,0.690625,0.0,0,1,0.0
18,658,-8.412205608490078,32,0.674785,0.0,0,1,0.0
19,737,-29.665210112502088,79,0.63568,0.0,0,1,0.0
20,765,-10.942547851720576,28,0.62182,0.0,0,1,0.0
21,824,-26.54545901998084,59,0.592615,0.0,0,1,0.0
22,880,-22.873151462822022,56,0.5648949999999999,0.0,0,1,0.0
23,954,-11.594765164636424,74,0.528265,0.0,0,1,0.0
24,1025,-30.118214062668578,71,0.49312,0.0,0,1,0.0
25,1050,-12.042075952797022,25,0.4807450000000001,0.0,0,1,0.0
26,1105,-18.827092102483483,55,0.4535199999999999,0.0,0,1,0.0
27,1126,-15.296229100966421,21,0.443125,0.0,0,1,0.0
28,1195,-27.035474678360718,69,0.40897000000000006,0.0,0,1,0.0
29,1248,-18.498692510684187,53,0.38273499999999994,0.0,0,1,0.0
30,1299,-13.452898031775318,51,0.35749,0.0,0,1,0.0
31,1399,-10.265220106374212,100,0.3079900000000001,0.0,0,0,0.0
32,1424,-16.4342494431625,25,0.29561499999999996,0.0,0,1,0.0
33,1491,-5.03857683841157,67,0.26244999999999996,0.0,0,1,0.0
34,1514,-15.185962364938568,23,0.2510650000000001,2.461615021739687,0,1,0.0
35,1533,-5.316344437473635,19,0.24165999999999999,1.9211539265356565,0,1,0.0
36,1633,-2.9812023577976587,100,0.1921600000000001,2.15139763712883,0,0,0.0
37,1698,-13.688264305061033,65,0.15998499999999993,2.0662166457909805,0,1,0.0
38,1730,-17.888752367861432,32,0.14414499999999997,1.799055591225624,0,1,0.0
39,1753,-12.029165158382082,23,0.13276,1.8289225464281829,0,1,0.0
40,1808,-4.56835358749515,55,0.10553500000000005,1.8801214337348937,0,1,0.0
41,1850,-14.763664216910218,42,0.08474500000000007,1.8710361548832484,0,1,0.0
42,1937,-9.562912930591123,87,0.04168000000000005,1.9246928088966457,0,1,0.0
43,1955,-14.186137997022346,18,0.03277000000000008,1.6018309593200684,0,1,0.0
44,2036,-9.790510807636283,81,0.010000000000000009,1.6055500499996138,0,1,0.0
45,2068,-16.683449803253524,32,0.010000000000000009,1.374535134062171,0,1,0.0
46,2085,-9.937252395705574,17,0.010000000000000009,1.4977548192529118,0,1,0.0
47,2114,-18.658494168943943,29,0.010000000000000009,1.3690343437523678,0,1,0.0
48,2214,-16.814054875232642,100,0.010000000000000009,1.4746148490905762,0,0,0.0
49,2314,-13.165838970665012,100,0.010000000000000009,1.2534621468186378,0,0,0.0
50,2408,-27.23919212476922,94,0.010000000000000009,1.0724654698625524,0,1,0.0
