Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success
1,100,-19.95705337661601,100,0.97525,0.0,0
2,200,-20.63370225256055,100,0.9505,0.0,0
3,300,-9.64191138673302,100,0.92575,0.0,0
4,400,-20.429956968221518,100,0.901,0.0,0
5,500,-20.417347688610736,100,0.87625,0.0,0
6,570,201.40085386144997,70,0.858925,0.0,1
7,670,-20.25554651916901,100,0.834175,0.0,0
8,738,197.5417126353233,68,0.817345,0.0,1
9,838,-8.49298104541223,100,0.792595,0.0,0
10,938,-12.50451578861612,100,0.767845,0.0,0
11,1038,-3.0588691089555318,100,0.7430950000000001,0.0,0
12,1138,-23.178692715941608,100,0.718345,0.0,0
13,1238,-11.832304704016835,100,0.693595,0.0,0
14,1338,-15.01722937846699,100,0.6688449999999999,0.0,0
15,1438,-10.625879885887814,100,0.6440950000000001,0.0,0
16,1538,-14.380334191522168,100,0.619345,37.09382934613448,0
17,1612,-183.0418922557159,74,0.60103,44.35303116891835,0
18,1701,-180.5074321772202,89,0.5790025,68.82180941188604,0
19,1801,-16.862013729280307,100,0.5542525,75.43047325119376,0
20,1901,-29.917076134933957,100,0.5295025,59.400011174082756,0
21,2001,-6.344099622884483,100,0.5047525,72.5631951057911,0
22,2101,-6.57630953011893,100,0.4800025,52.17366511464119,0
23,2201,-10.447819684362845,100,0.45525249999999995,67.43214830458164,0
24,2301,-16.27830584924462,100,0.4305025,50.852165344953534,0
25,2401,-18.697586306394452,100,0.40575250000000007,43.02772635817528,0
26,2501,-7.147219314841959,100,0.3810025,53.46993943452835,0
27,2601,-15.081728233520435,100,0.35625249999999997,59.6656473839283,0
28,2608,202.29791397716752,7,0.35451999999999995,28.99036983081273,1
29,2708,-13.322661853380547,100,0.32977,57.682096291780475,0
30,2808,-17.33480675507646,100,0.30502000000000007,56.81409939050675,0
31,2816,203.41058642771256,8,0.3030400000000001,73.21555337309837,1
32,2916,-4.642968149839199,100,0.27829000000000004,72.36890526473522,0
33,3016,-10.45885589761562,100,0.25354,51.680701998472216,0
34,3116,-5.162621261559166,100,0.22878999999999994,54.37473153114319,0
35,3216,-14.023176952588843,100,0.20404,54.173956999778746,0
36,3316,-8.077538207607285,100,0.17929000000000006,54.51138567209244,0
37,3385,197.99604947084921,69,0.1622125000000001,53.49019259991853,1
38,3485,-19.530693880277592,100,0.13746250000000004,63.090982664823535,0
39,3585,-11.070106676845617,100,0.1127125,45.14216952323913,0
40,3685,-12.28934981076404,100,0.08796249999999994,57.04362132668495,0
41,3785,-6.4716081505178185,100,0.0632125,43.668128439188,0
42,3885,-10.204639505805627,100,0.038462500000000066,44.68985909342766,0
43,3930,207.55061676152206,45,0.027324999999999933,64.03068897989061,1
44,4007,-160.50474333498573,77,0.010000000000000009,74.34861299589083,0
45,4071,-144.35656292422473,64,0.010000000000000009,56.06335490196943,0
46,4171,-11.976637387117647,100,0.010000000000000009,68.11284836292266,0
47,4271,-11.722383507991998,100,0.010000000000000009,67.37415009498596,0
48,4321,210.0429166872575,50,0.010000000000000009,58.96251901626587,1
49,4356,213.89013456614455,35,0.010000000000000009,45.64333356448582,1
50,4456,-9.502566820377943,100,0.010000000000000009,61.88563110589981,0
51,4556,-10.406470141430104,100,0.010000000000000009,68.5255998158455,0
52,4656,-7.918502424626517,100,0.010000000000000009,68.11172076940537,0
53,4756,-5.762797848690116,100,0.010000000000000009,46.12605137109757,0
54,4856,-11.078323706937548,100,0.010000000000000009,66.11323594331742,0
55,4956,-11.996261778758491,100,0.010000000000000009,71.66716537475585,0
56,5056,7.718087052873912,100,0.010000000000000009,78.32781229257584,0
57,5156,-9.880109823135953,100,0.010000000000000009,53.44124294281006,0
58,5256,-4.941320297102483,100,0.010000000000000009,51.003301911354065,0
59,5356,-7.074018157076422,100,0.010000000000000009,59.66297094583511,0
60,5456,-4.786342483247612,100,0.010000000000000009,52.42479728221893,0
61,5484,212.53240516276173,28,0.010000000000000009,38.66733567203794,1
62,5584,-10.812891238904582,100,0.010000000000000009,57.90274262428284,0
63,5684,-14.921569260860037,100,0.010000000000000009,60.02700339317322,0
64,5717,204.82358029712705,33,0.010000000000000009,35.72112603621049,1
65,5817,-17.11914231779211,100,0.010000000000000009,55.45570793628693,0
66,5861,206.37917002801652,44,0.010000000000000009,80.42512623830275,1
67,5923,206.87372287623072,62,0.010000000000000009,70.67392078522712,1
68,6018,208.48446537417036,95,0.010000000000000009,75.52224400168971,1
69,6118,-11.439077930761325,100,0.010000000000000009,65.96112054824829,0
70,6218,-9.267942423279859,100,0.010000000000000009,75.0988711643219,0
71,6260,212.46324637215906,42,0.010000000000000009,66.06276853879292,1
72,6360,3.441721783953249,100,0.010000000000000009,71.72397847175598,0
73,6460,-4.456369663448319,100,0.010000000000000009,70.23916095733642,0
74,6560,-1.7331403583996305,100,0.010000000000000009,65.10133351802826,0
75,6618,207.96320388257124,58,0.010000000000000009,51.45404197429789,1
76,6718,-5.412985345204208,100,0.010000000000000009,58.729899187088016,0
77,6818,-6.9023300574759245,100,0.010000000000000009,73.60642112731934,0
78,6864,211.02537819603765,46,0.010000000000000009,38.94640124362448,1
79,6935,196.86069095624168,71,0.010000000000000009,63.487334687944866,1
80,7035,-3.1183934500060198,100,0.010000000000000009,77.37544011116027,0
81,7135,-9.079154287467459,100,0.010000000000000009,65.24005356311798,0
82,7180,-146.33796048381632,45,0.010000000000000009,47.27820718553331,0
83,7201,209.25063020245858,21,0.010000000000000009,67.31480237415859,1
84,7301,-5.757327990420657,100,0.010000000000000009,65.67804413795471,0
85,7336,211.65345556484047,35,0.010000000000000009,66.24695305143084,1
86,7360,203.77064119668242,24,0.010000000000000009,70.97864401340485,1
87,7427,201.59181604635583,67,0.010000000000000009,64.10814468184513,1
88,7468,205.62849232533551,41,0.010000000000000009,79.86130923759646,1
89,7568,-12.98895382751597,100,0.010000000000000009,93.68877661705017,0
90,7628,201.22581013334062,60,0.010000000000000009,83.85329643885295,1
91,7728,202.68015436126854,100,0.010000000000000009,72.47559864521027,1
92,7828,-21.509948159640835,100,0.010000000000000009,87.8602692604065,0
93,7928,-10.99393873524195,100,0.010000000000000009,81.13685461044311,0
94,8003,-158.75377615383533,75,0.010000000000000009,79.47483811696371,0
95,8103,-10.888708653961938,100,0.010000000000000009,82.24335474967957,0
96,8141,204.23896950958826,38,0.010000000000000009,72.01639187963386,1
97,8241,-3.9500384480029926,100,0.010000000000000009,76.31966980934143,0
98,8281,202.28809242782734,40,0.010000000000000009,57.569064784049985,1
99,8336,201.0858801291533,55,0.010000000000000009,66.15447729284114,1
