Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,20,18.106502314184095,20,0.0,0.0,1,0,0.0
2,33,-0.23987246505091164,13,0.0,0.0,0,1,0.0
3,49,17.649538431397932,16,0.0,0.0,1,0,0.0
4,81,22.183047504688766,32,0.0,0.0,1,0,0.0
5,101,-0.5300973658337504,20,0.0,0.0,0,1,0.0
6,123,19.740425537702308,22,0.0,0.0,1,0,0.0
7,143,0.06971258059991925,20,0.0,0.0,0,1,0.0
8,153,-0.9782674558665612,10,0.0,0.0,0,1,0.0
9,175,0.25475767888861345,22,0.0,0.0,0,1,0.0
10,205,23.088995157444053,30,0.0,0.0,1,0,0.0
11,219,1.1513025963294812,14,0.0,0.0,0,1,0.0
12,231,0.22387406788074227,12,0.0,0.0,0,1,0.0
13,253,15.909854371680703,22,0.0,0.0,1,0,0.0
14,263,14.50851643408528,10,0.0,0.0,1,0,0.0
15,290,18.368997416650934,27,0.0,0.0,1,0,0.0
16,315,1.6525263485839226,25,0.0,0.0,0,1,0.0
17,336,2.4663081464567904,21,0.0,0.0,0,1,0.0
18,354,1.8283297479067109,18,0.0,0.0,0,1,0.0
19,365,14.958413177312316,11,0.0,0.0,1,0,0.0
20,379,-0.40763385215666137,14,0.0,0.0,0,1,0.0
21,401,17.296132822032227,22,0.0,0.0,1,0,0.0
22,422,0.7322411913238485,21,0.0,0.0,0,1,0.0
23,443,2.1258773286877783,21,0.0,0.0,0,1,0.0
24,458,-0.025586181237247985,15,0.0,0.0,0,1,0.0
25,472,14.208447579340884,14,0.0,0.0,1,0,0.0
26,503,22.964652862864362,31,0.0,0.0,1,0,0.0
27,515,15.349538117287658,12,0.0,0.0,1,0,0.0
28,554,24.179846169678584,39,0.0,0.0,1,0,0.0
29,573,17.22926200707373,19,0.0,0.0,1,0,0.0
30,594,-0.7635427130821757,21,0.0,0.0,0,1,0.0
31,609,1.1511624946223487,15,0.0,0.0,0,1,0.0
32,618,13.250352919170094,9,0.0,0.0,1,0,0.0
33,635,1.861601206603182,17,0.0,0.0,0,1,0.0
34,650,-0.529293099215975,15,0.0,0.0,0,1,0.0
35,675,17.14935904893225,25,0.0,0.0,1,0,0.0
36,694,18.875966435837903,19,0.0,0.0,1,0,0.0
37,710,-0.7506781490679577,16,0.0,0.0,0,1,0.0
38,725,0.15229749282229932,15,0.0,0.0,0,1,0.0
39,742,-0.8334583646993998,17,0.0,0.0,0,1,0.0
40,756,-0.794884097636178,14,0.0,0.0,0,1,0.0
41,779,1.0713657104762708,23,0.0,0.0,0,1,0.0
42,791,-0.013202759335890768,12,0.0,0.0,0,1,0.0
43,821,19.654978566790323,30,0.0,0.0,1,0,0.0
44,835,0.11872787501128013,14,0.0,0.0,0,1,0.0
45,862,17.041357034823523,27,0.0,0.0,1,0,0.0
46,879,-0.9932120271688225,17,0.0,0.0,0,1,0.0
47,892,0.3495148965841448,13,0.0,0.0,0,1,0.0
48,910,0.29378870190358697,18,0.0,0.0,0,1,0.0
49,928,1.514528584683001,18,0.0,0.0,0,1,0.0
50,960,22.702109514210225,32,0.0,0.0,1,0,0.0
51,976,12.409523288732089,16,0.01,0.0,1,0,0.4375
52,996,-0.2958067937861264,20,0.01,0.0,0,1,0.65
53,1017,18.227401420435925,21,0.01,0.0,1,0,0.47619047619047616
54,1032,1.4489018798321753,15,0.01,0.0,0,1,0.4666666666666667
55,1044,-0.8195734832853212,12,0.01,0.0,0,1,0.3333333333333333
56,1075,21.993863043088677,31,0.01,0.0,1,0,0.4838709677419355
57,1102,22.5305055724904,27,0.01,0.0,1,0,0.2692307692307692
58,1123,0.5933412056402414,21,0.01,0.0,0,1,0.35
59,1135,-1.6046505743976258,12,0.01,0.0,0,1,0.4166666666666667
60,1161,20.428832674984086,26,0.01,0.0,1,0,0.3076923076923077
61,1173,-0.6468798423008941,12,0.01,0.0,0,1,0.3333333333333333
62,1191,0.22604239571238072,18,0.01,0.0,0,1,0.5555555555555556
63,1213,1.412200460288279,22,0.01,0.0,0,1,0.3333333333333333
64,1230,-1.3488893651456157,17,0.01,0.0,0,1,0.625
65,1243,15.312657995311806,13,0.01,0.0,1,0,0.0
66,1263,19.825026149064286,20,0.01,0.0,1,0,0.15
67,1282,0.695970601914035,19,0.01,0.0,0,1,0.5789473684210527
68,1298,15.565275564051667,16,0.01,0.0,1,0,0.6875
69,1313,-0.9916203798804446,15,0.01,0.0,0,1,0.3333333333333333
70,1327,-1.1443289896333209,14,0.01,0.0,0,1,0.7692307692307693
71,1346,1.602637772557082,19,0.01,0.0,0,1,0.5263157894736842
72,1357,-2.3916148440359715,11,0.01,0.0,0,1,0.36363636363636365
73,1370,0.5316735826816661,13,0.01,0.0,0,1,0.38461538461538464
74,1381,13.271092682086264,11,0.01,0.0,1,0,0.5
75,1403,18.688011346792926,22,0.01,0.0,1,0,0.5
76,1424,16.39744973230504,21,0.01,0.0,1,0,0.14285714285714285
77,1443,-0.4612051613378334,19,0.01,0.0,0,1,0.3157894736842105
78,1455,12.663482258645455,12,0.01,0.0,1,0,0.6666666666666666
79,1473,17.32509330739281,18,0.01,0.0,1,0,0.16666666666666666
80,1491,1.6927566322814052,18,0.01,0.0,0,1,0.3333333333333333
81,1510,-0.4659513722010784,19,0.01,4.612929791212082,0,1,0.5263157894736842
82,1520,-0.6523823824305248,10,0.01,4.336212205886841,0,1,0.6
83,1531,-0.6685183479814656,11,0.01,3.908446176485582,0,1,0.5454545454545454
84,1541,-0.037060178429626056,10,0.01,4.069707435369492,0,1,0.4
85,1558,21.67763368969097,17,0.01,4.20413342293571,1,0,0.9411764705882353
86,1568,-4.93940558426716,10,0.01,4.027338266372681,0,1,0.0
87,1591,22.325655989743197,23,0.01,3.2526186030843984,1,0,0.9130434782608695
88,1606,-9.513724406241785,15,0.01,3.572375241915385,0,1,0.7333333333333333
89,1626,20.640275756237973,20,0.01,3.543526718020439,1,0,0.85
90,1637,0.28150825103946,11,0.01,3.6432550793344323,0,1,0.5454545454545454
91,1656,0.6531699035010377,19,0.01,3.536541273719386,0,1,0.15789473684210525
92,1675,-0.8243675946106865,19,0.01,3.6283593318964305,0,1,0.10526315789473684
93,1693,20.94669470334882,18,0.01,3.6099985821379557,1,0,0.8888888888888888
94,1711,1.7165000656310312,18,0.01,3.4708658506472907,0,1,0.16666666666666666
95,1735,22.046528872118785,24,0.01,3.456066702802976,1,0,0.5217391304347826
96,1748,0.4399166703862054,13,0.01,3.8511799848996677,0,1,0.23076923076923078
97,1761,-0.6042059447376964,13,0.01,3.4946546531640568,0,1,0.23076923076923078
98,1783,16.52423366806847,22,0.01,3.5904889079657467,1,0,0.15
99,1801,17.958314543315478,18,0.01,3.202555282248391,1,0,0.4444444444444444
100,1812,-1.6599245809745544,11,0.01,3.7387472932988945,0,1,0.18181818181818182
101,1830,19.94714091071787,18,0.01,3.675500879685084,1,0,0.7647058823529411
