Episode,Total_Steps,Reward,Ep_Steps,Epsilon,Avg_Loss,Success,Collision,Consistency
1,24,11.670332273120138,24,0.0,0.0,1,0,0.0
2,49,-2.359614063285253,25,0.0,0.0,0,1,0.0
3,91,13.625288852513677,42,0.0,0.0,1,0,0.0
4,125,-2.686611570626134,34,0.0,0.0,0,1,0.0
5,151,-2.5467813463798095,26,0.0,0.0,0,1,0.0
6,190,-2.5186409904590885,39,0.0,0.0,0,1,0.0
7,229,13.760929952309002,39,0.0,0.0,1,0,0.0
8,270,-1.210882592799896,41,0.0,0.0,0,1,0.0
9,309,-2.0331191094107357,39,0.0,0.0,0,1,0.0
10,337,-2.0809364232773055,28,0.0,0.0,0,1,0.0
11,378,13.581980611620816,41,0.0,0.0,1,0,0.0
12,403,-2.992188829642931,25,0.0,0.0,0,1,0.0
13,442,-1.9883257177298983,39,0.0,0.0,0,1,0.0
14,474,-3.1418701163900726,32,0.0,0.0,0,1,0.0
15,512,-2.1360805515246355,38,0.0,0.0,0,1,0.0
16,538,-2.5296480578206033,26,0.0,0.0,0,1,0.0
17,578,-1.9660807191573628,40,0.0,0.0,0,1,0.0
18,605,-2.503757866019069,27,0.0,0.0,0,1,0.0
19,647,-2.2132873848736137,42,0.0,0.0,0,1,0.0
20,686,-2.339138047729437,39,0.0,0.0,0,1,0.0
21,710,-2.8903431919573945,24,0.0,0.0,0,1,0.0
22,750,13.852166339726136,40,0.0,0.0,1,0,0.0
23,775,-3.017632655295137,25,0.0,0.0,0,1,0.0
24,799,-2.6086278132629754,24,0.0,0.0,0,1,0.0
25,838,-2.441205396480636,39,0.0,0.0,0,1,0.0
26,862,-2.8147586365335204,24,0.0,0.0,0,1,0.0
27,901,-2.007650871125084,39,0.0,0.0,0,1,0.0
28,926,-2.971424294570909,25,0.0,0.0,0,1,0.0
29,972,13.910548497540349,46,0.0,0.0,1,0,0.0
30,999,-2.507133247745796,27,0.0,0.0,0,1,0.0
31,1033,-3.415380551775108,34,0.0,0.0,0,1,0.0
32,1074,-2.820409157174451,41,0.0,0.0,0,1,0.0
33,1100,-2.394683669985708,26,0.0,0.0,0,1,0.0
34,1134,-3.3618844977363116,34,0.0,0.0,0,1,0.0
35,1175,-1.846842212328435,41,0.0,0.0,0,1,0.0
36,1203,-2.5273442083105806,28,0.0,0.0,0,1,0.0
37,1238,-1.7592374923674154,35,0.0,0.0,0,1,0.0
38,1283,13.870431302212591,45,0.0,0.0,1,0,0.0
39,1321,11.090481791944779,38,0.0,0.0,1,0,0.0
40,1349,-2.580583928473036,28,0.0,0.0,0,1,0.0
41,1372,-2.7281107590506535,23,0.0,0.0,0,1,0.0
42,1399,-2.590586286491349,27,0.0,0.0,0,1,0.0
43,1434,-1.2736097210730266,35,0.0,0.0,0,1,0.0
44,1477,-2.7722394660326586,43,0.0,0.0,0,1,0.0
45,1502,-2.616988561532654,25,0.0,2.25331974029541,0,1,0.0
46,1531,13.118714821655686,29,0.0,2.05810187397332,1,0,0.0
47,1572,14.747149210734177,41,0.0,1.612857947989208,1,0,0.0
48,1591,-2.978073606938982,19,0.0,1.244902607641722,0,1,0.0
49,1626,-0.8550459140963058,35,0.0,1.1115674257278443,0,1,0.0
50,1660,14.174914102423351,34,0.0,1.8783716612002428,1,0,0.0
51,1681,-2.421018499354867,21,1.0,1.8430699337096441,0,1,0.0
52,1700,-2.4994134960343843,19,0.990595,1.7522636620621932,0,1,0.0
53,1735,14.589678526467324,35,0.97327,1.7887692553656442,1,0,1.0
54,1775,13.040859432134134,40,0.95347,1.5491457819938659,1,0,0.0
55,1793,-2.775035096733225,18,0.94456,1.6658849178089037,0,1,0.0
56,1836,13.311775889052177,43,0.923275,1.6664158947939096,1,0,1.0
57,1871,-1.2333499717338543,35,0.90595,1.8354821647916522,0,1,1.0
58,1901,-0.9655409640171859,30,0.8911,1.5644939462343852,0,1,1.0
59,1927,13.3847548406842,26,0.87823,1.6571864829613612,1,0,0.5
60,1958,14.24244409815023,31,0.862885,1.518285874397524,1,0,0.6666666666666666
61,1987,-2.569618282726275,29,0.84853,1.720262600430127,0,1,0.75
62,2013,-2.6893726509561366,26,0.83566,1.61056809929701,0,1,1.0
63,2044,-1.5352336953022903,31,0.820315,1.516609323601569,0,1,0.8333333333333334
64,2062,-2.9209206095496665,18,0.8114049999999999,1.4993092748853896,0,1,0.0
65,2097,12.43517718488945,35,0.79408,1.6176351666450501,1,0,0.8333333333333334
66,2125,-1.3758759195670045,28,0.78022,1.6185308960931641,0,1,0.6666666666666666
67,2151,-2.201877118094541,26,0.76735,1.4218360741551106,0,1,0.8571428571428571
68,2198,14.395977081831255,47,0.744085,1.6555657320200128,1,0,0.7272727272727273
69,2244,16.21422527445811,46,0.721315,1.3875741961857546,1,0,0.4666666666666667
70,2268,-2.0507709578948825,24,0.709435,1.4756682838002841,0,1,0.3333333333333333
71,2288,-2.3757506927756715,20,0.699535,1.4080488994717597,0,1,0.6
72,2307,-2.7124143691719924,19,0.69013,1.3060440326991833,0,1,0.0
73,2333,-2.9871015689402056,26,0.67726,1.2776580659242778,0,1,0.4
74,2351,11.465717961053208,18,0.66835,1.4607842614253361,1,0,0.8888888888888888
75,2394,14.72977200543995,43,0.647065,1.310658635441647,1,0,0.5384615384615384
76,2423,-1.0699285335711193,29,0.63271,1.3551481520307476,0,1,0.6
77,2441,-2.4780866808022295,18,0.6238,1.4102202703555424,0,1,0.2222222222222222
78,2478,-3.2280825117091405,37,0.605485,1.3517264288824957,0,1,0.8571428571428571
79,2509,13.838263043828789,31,0.59014,1.3379514193342579,1,0,0.5833333333333334
80,2526,-2.976459085603209,17,0.581725,1.3585075341603334,0,1,0.6363636363636364
81,2544,-2.562667294581089,18,0.5728150000000001,1.2913761254813936,0,1,0.5555555555555556
82,2582,-0.8168769213179701,38,0.554005,1.4230516537239677,0,1,0.5882352941176471
83,2631,-2.429734074198508,49,0.5297499999999999,1.3181640321806984,0,1,0.7777777777777778
84,2650,-2.4972337932645283,19,0.5203450000000001,1.3426417080979598,0,1,0.6666666666666666
85,2680,13.736574608892015,30,0.505495,1.2422769511739413,1,0,0.6428571428571429
86,2700,-7.6132231193837505,20,0.495595,1.3516775466501714,0,1,1.0
87,2754,16.89576589606699,54,0.468865,1.3878958182478394,1,0,0.7692307692307693
88,2786,-3.369478243600501,32,0.453025,1.3295066787395626,0,1,0.9523809523809523
89,2813,-3.016072136049867,27,0.43966000000000005,1.320719646082984,0,1,0.5555555555555556
90,2833,-2.370720339717373,20,0.42976000000000003,1.343758339062333,0,1,1.0
91,2859,13.09948643779489,26,0.41689,1.3121207499733338,1,0,0.6363636363636364
92,2886,-2.330625305274609,27,0.403525,1.4394918729861577,0,1,0.5
93,2916,-3.0960166581034745,30,0.388675,1.3971204663316408,0,1,0.7391304347826086
94,2947,13.686479750627173,31,0.37333000000000005,1.382451480434787,1,0,0.5238095238095238
95,2965,-2.7406484618779445,18,0.36441999999999997,1.3876711361938052,0,1,0.8181818181818182
96,3022,14.300775494329065,57,0.336205,1.3965037253342176,1,0,0.6470588235294118
97,3062,-2.8911834668965875,40,0.31640500000000005,1.4101780243217945,0,1,0.7333333333333333
98,3092,-2.9763224857162727,30,0.301555,1.4104209790627162,0,1,0.5238095238095238
99,3113,-2.0563671508273647,21,0.2911600000000001,1.3260381427549182,0,1,0.6923076923076923
100,3131,-2.547136645952793,18,0.28225,1.3802852593362331,0,1,0.4666666666666667
101,3157,-3.1217370671756903,26,0.26938000000000006,1.3648379983810277,0,1,0.7
102,3206,-3.0440203565658286,49,0.24512500000000004,1.414814401037839,0,1,0.9
103,3246,-2.6668092619338175,40,0.225325,1.328640093654394,0,1,0.7333333333333333
104,3297,16.815703070487885,51,0.20007999999999992,1.336799658981024,1,0,0.631578947368421
105,3315,-7.878208083110773,18,0.19117000000000006,1.3355901911854744,0,1,1.0
106,3366,16.678658350228442,51,0.165925,1.433050776521365,1,0,0.5333333333333333
107,3384,-3.0264371277915334,18,0.15701500000000002,1.2920812600188785,0,1,0.5625
108,3403,-2.70804728493814,19,0.14761000000000002,1.4692003036800183,0,1,0.5
109,3435,-2.4645250241475307,32,0.13177000000000005,1.4182697152718902,0,1,0.7037037037037037
110,3462,12.978797768589514,27,0.1184050000000001,1.3528755102996473,1,0,0.7916666666666666
111,3479,-2.8650979593633954,17,0.10999000000000003,1.3320282198050444,0,1,0.6875
112,3513,-2.9033621124576303,34,0.09316000000000002,1.4122182950377464,0,1,0.6428571428571429
113,3565,13.051951289025606,52,0.06742000000000004,1.4375578144995065,1,0,0.7
114,3584,-2.5380254193983856,19,0.05801500000000004,1.4469912773684452,0,1,0.3888888888888889
115,3619,13.626174503843036,35,0.040690000000000004,1.415877988934517,1,0,0.5757575757575758
116,3719,4.365529133910812,100,0.010000000000000009,1.4101920542120934,0,0,0.8080808080808081
117,3755,-1.8287962656624117,36,0.010000000000000009,1.3706511370837688,0,1,0.75
118,3846,13.138465549927067,91,0.010000000000000009,1.4038341141991564,1,0,0.8181818181818182
119,3867,-2.6438526418572947,21,0.010000000000000009,1.4940417486996878,0,1,0.5238095238095238
120,3911,-3.178494225965507,44,0.010000000000000009,1.3957232727923177,0,1,0.8181818181818182
121,3983,17.422972505928932,72,0.010000000000000009,1.4076910608758528,1,0,0.5774647887323944
122,4041,-3.1239903642284124,58,0.010000000000000009,1.4204322788222083,0,1,0.6842105263157895
123,4067,-2.020266072041417,26,0.010000000000000009,1.383534400508954,0,1,0.68
124,4095,-3.1267192488683984,28,0.010000000000000009,1.5080065232302462,0,1,0.5714285714285714
125,4122,-2.2348115070046113,27,0.010000000000000009,1.410726147669333,0,1,0.5925925925925926
126,4188,-0.8185457044465174,66,0.010000000000000009,1.4270740187529363,0,1,0.696969696969697
127,4220,14.150945617397426,32,0.010000000000000009,1.4067167709581554,1,0,0.75
128,4242,-2.460459304418955,22,0.010000000000000009,1.3899481560696254,0,1,0.7619047619047619
129,4261,-2.4930426472067277,19,0.010000000000000009,1.455338943945734,0,1,0.4117647058823529
130,4332,-3.1096890606062635,71,0.010000000000000009,1.432366043329239,0,1,0.8028169014084507
131,4363,-3.007802221951673,31,0.010000000000000009,1.5097154398118295,0,1,0.7096774193548387
132,4394,-2.597425059991201,31,0.010000000000000009,1.4098559901598962,0,1,0.6666666666666666
133,4422,-2.162786400387831,28,0.010000000000000009,1.4341501396681582,0,1,0.75
134,4442,-2.149721093620866,20,0.010000000000000009,1.4630361706018449,0,1,0.55
135,4471,-2.9355529093646213,29,0.010000000000000009,1.4621897185670918,0,1,0.5517241379310345
136,4499,-2.6229319929171777,28,0.010000000000000009,1.498603381216526,0,1,0.8214285714285714
137,4531,-2.3100103766138247,32,0.010000000000000009,1.4948285352438688,0,1,0.9354838709677419
138,4581,-2.434884592984705,50,0.010000000000000009,1.4681754410266876,0,1,0.8
139,4627,14.337119504159059,46,0.010000000000000009,1.4914894845822584,1,0,0.6956521739130435
140,4664,-2.7069973991480323,37,0.010000000000000009,1.456849353538977,0,1,0.7837837837837838
141,4689,-2.008487961921707,25,0.010000000000000009,1.523949379324913,0,1,0.44
142,4747,15.446192788496404,58,0.010000000000000009,1.4771692768253128,1,0,0.7413793103448276
143,4773,-2.6281429512323395,26,0.010000000000000009,1.4642635744351606,0,1,0.68
144,4809,-1.6062552620655848,36,0.010000000000000009,1.5064410989483197,0,1,0.5277777777777778
145,4850,-2.7106712854350254,41,0.010000000000000009,1.5395197595764951,0,1,0.7
146,4904,15.52610489340228,54,0.010000000000000009,1.5274691570688177,1,0,0.6296296296296297
147,4928,-1.7877174722656388,24,0.010000000000000009,1.5858903229236603,0,1,0.5
148,5002,12.260140808758914,74,0.010000000000000009,1.5168667206087627,1,0,0.8918918918918919
149,5038,-2.074120277371798,36,0.010000000000000009,1.4483639904194407,0,1,0.6388888888888888
150,5067,-2.0583857593156787,29,0.010000000000000009,1.438264769726786,0,1,0.5357142857142857
151,5098,-2.7659730721279,31,0.010000000000000009,1.4802774032277446,0,1,0.7741935483870968
152,5144,-2.642526465003878,46,0.010000000000000009,1.5217429736386174,0,1,0.8666666666666667
153,5177,-1.383914339226732,33,0.010000000000000009,1.5049433581756824,0,1,0.6363636363636364
154,5197,-2.576142893064521,20,0.010000000000000009,1.3926700532436371,0,1,0.4
155,5215,-2.5980443158191457,18,0.010000000000000009,1.432834689815839,0,1,0.6111111111111112
156,5240,-1.783426830555228,25,0.010000000000000009,1.3884234082698823,0,1,0.6
157,5308,-3.2789554193429216,68,0.010000000000000009,1.4126320538275383,0,1,0.8656716417910447
158,5326,-2.61182298320716,18,0.010000000000000009,1.3841709345579147,0,1,0.5555555555555556
159,5344,-2.599317735589972,18,0.010000000000000009,1.400961846113205,0,1,0.4444444444444444
160,5386,-0.05703617694438812,42,0.010000000000000009,1.4222256633497419,0,1,0.7317073170731707
161,5407,-2.1892480299407833,21,0.010000000000000009,1.484709340901602,0,1,0.65
162,5456,-3.0285563425864,49,0.010000000000000009,1.4202861633836006,0,1,0.8571428571428571
163,5481,-3.1167267074767633,25,0.010000000000000009,1.4189683532714843,0,1,0.75
164,5513,-1.2665625661762183,32,0.010000000000000009,1.3728363942354918,0,1,0.625
165,5534,-2.0799704084899444,21,0.010000000000000009,1.4106191425096422,0,1,0.5238095238095238
166,5554,-2.552002643878099,20,0.010000000000000009,1.4265226140618323,0,1,0.7
167,5570,-2.7232940157137984,16,0.010000000000000009,1.4054343439638615,0,1,0.4666666666666667
168,5590,-2.456917520512813,20,0.010000000000000009,1.3106511324644088,0,1,0.7
169,5609,-2.829012797777353,19,0.010000000000000009,1.3929342062849748,0,1,0.8421052631578947
170,5676,-2.3828399240629556,67,0.010000000000000009,1.3424441498606952,0,1,0.8
171,5740,16.8038221499324,64,0.010000000000000009,1.3683436959981918,1,0,0.8253968253968254
172,5763,-2.333147944810769,23,0.010000000000000009,1.4062257849651834,0,1,0.782608695652174
173,5789,-2.940320017243716,26,0.010000000000000009,1.472859140772086,0,1,0.64
174,5813,-1.9505748101947087,24,0.010000000000000009,1.3877878623704116,0,1,0.7391304347826086
175,5860,-2.224467192831482,47,0.010000000000000009,1.3672032077261742,0,1,0.8043478260869565
176,5894,-1.3824317498359187,34,0.010000000000000009,1.3924887390697704,0,1,0.9117647058823529
177,5963,14.428515689748824,69,0.010000000000000009,1.3933589968128481,1,0,0.8405797101449275
178,6015,16.081919241622106,52,0.010000000000000009,1.436490035400941,1,0,0.78
179,6068,16.368188382630336,53,0.010000000000000009,1.4168364253808867,1,0,0.7307692307692307
180,6155,16.42091423008219,87,0.010000000000000009,1.4464862826226772,1,0,0.8160919540229885
181,6193,-0.8981747431624285,38,0.010000000000000009,1.4937708205298375,0,1,0.8421052631578947
